date,poi_id,poi_name,district,lon,lat,poi_type,dist_to_center_km,crowd_flow,weather,weather_code,high_temp,low_temp,precipitation_mm,max_wind_speed_kmh,is_weekend,is_holiday
2024-02-08,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,1966,小毛毛雨,51,10.0,0.8,0.2,7.3,0,0
2024-02-09,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3006,阴,3,14.4,3.2,0.0,9.8,0,0
2024-02-10,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,8677,晴间多云,1,15.0,1.3,0.0,10.0,1,1
2024-02-11,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5909,阴,3,16.5,1.7,0.0,10.1,1,1
2024-02-12,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,6872,多云,2,17.9,4.1,0.0,11.2,0,1
2024-02-13,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4622,阴,3,18.8,3.8,0.0,9.4,0,1
2024-02-14,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4962,小毛毛雨,51,16.5,6.8,0.2,20.0,0,1
2024-02-15,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5795,小毛毛雨,51,16.9,8.4,0.1,16.6,0,1
2024-02-16,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4567,阴,3,16.5,2.7,0.0,9.9,0,1
2024-02-17,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5280,阴,3,19.8,3.9,0.0,9.6,1,1
2024-02-18,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3608,阴,3,21.0,5.0,0.0,11.5,1,0
2024-02-19,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3556,阴,3,19.1,10.5,0.0,17.1,0,0
2024-02-20,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3301,阴,3,19.5,7.8,0.0,21.7,0,0
2024-02-21,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,1978,小毛毛雨,51,10.7,6.1,0.4,22.5,0,0
2024-02-22,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2030,阴,3,8.0,3.7,0.0,17.7,0,0
2024-02-23,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,1211,小雪,71,5.1,2.1,0.7,14.8,0,0
2024-02-24,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3981,阴,3,10.2,1.6,0.0,9.0,1,0
2024-02-25,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2075,小毛毛雨,51,9.7,-0.3,0.5,10.5,1,0
2024-02-26,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,1724,中毛毛雨,53,9.9,4.2,0.7,7.3,0,0
2024-02-27,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,1904,小毛毛雨,51,10.9,3.5,0.7,11.9,0,0
2024-02-28,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2576,小毛毛雨,51,7.8,5.2,0.8,12.3,0,0
2024-02-29,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,1475,大毛毛雨,55,12.8,2.2,1.8,13.1,0,0
2024-03-01,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2499,中毛毛雨,53,10.3,3.7,1.8,18.3,0,0
2024-03-02,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3252,中毛毛雨,53,11.6,3.2,2.3,11.4,1,0
2024-03-03,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5784,小毛毛雨,51,13.7,6.5,0.2,10.3,1,0
2024-03-04,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3480,小毛毛雨,51,14.4,3.8,0.1,10.9,0,0
2024-03-05,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4482,小毛毛雨,51,17.6,5.6,0.5,15.3,0,0
2024-03-06,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3838,小毛毛雨,51,16.5,7.5,0.4,19.3,0,0
2024-03-07,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3702,阴,3,17.0,7.8,0.0,12.0,0,0
2024-03-08,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4212,小毛毛雨,51,16.2,7.9,0.1,10.7,0,0
2024-03-09,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5774,小毛毛雨,51,16.2,5.4,0.1,7.6,1,0
2024-03-10,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4574,中毛毛雨,53,16.6,7.6,1.8,11.3,1,0
2024-03-11,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4406,阴,3,20.9,6.4,0.0,10.4,0,0
2024-03-12,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3768,小毛毛雨,51,17.0,11.8,0.1,16.1,0,0
2024-03-13,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3459,小毛毛雨,51,22.0,8.8,0.6,16.0,0,0
2024-03-14,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2924,中毛毛雨,53,20.5,11.6,1.7,12.6,0,0
2024-03-15,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3469,小毛毛雨,51,21.5,10.8,0.3,12.4,0,0
2024-03-16,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5640,小毛毛雨,51,20.5,14.1,0.7,16.9,1,0
2024-03-17,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5654,中毛毛雨,53,20.2,12.6,1.4,17.4,1,0
2024-03-18,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3492,小毛毛雨,51,17.9,11.1,0.6,14.2,0,0
2024-03-19,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2572,大毛毛雨,55,20.1,11.4,3.8,12.1,0,0
2024-03-20,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5293,阴,3,21.4,10.6,0.0,8.0,0,0
2024-03-21,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4282,阴,3,22.9,9.0,0.0,11.4,0,0
2024-03-22,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3990,阴,3,25.8,11.5,0.0,17.4,0,0
2024-03-23,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5638,阴,3,27.5,13.9,0.0,18.8,1,0
2024-03-24,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2672,中雨,63,20.5,13.4,14.1,28.4,1,0
2024-03-25,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2248,中雨,63,23.6,9.6,3.4,16.0,0,0
2024-03-26,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4903,小毛毛雨,51,22.5,14.3,0.1,18.8,0,0
2024-03-27,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2693,小雨,61,18.2,13.9,11.3,13.0,0,0
2024-03-28,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,6067,晴,0,25.4,10.2,0.0,13.3,0,0
2024-03-29,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5557,阴,3,27.5,11.8,0.0,11.0,0,0
2024-03-30,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3375,中雨,63,25.5,16.4,4.5,14.5,1,0
2024-03-31,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,6587,阴,3,27.0,13.1,0.0,12.1,1,0
2024-04-01,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3194,中毛毛雨,53,27.2,16.5,0.9,11.4,0,0
2024-04-02,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4150,小毛毛雨,51,28.4,17.0,0.3,12.5,0,0
2024-04-03,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,1695,中雨,63,23.6,16.4,17.3,17.3,0,0
2024-04-04,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,7357,大毛毛雨,55,24.6,14.8,3.4,15.9,0,1
2024-04-05,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,6853,中毛毛雨,53,22.5,15.4,1.4,18.9,0,1
2024-04-06,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5669,小雨,61,16.4,13.1,4.5,11.9,1,1
2024-04-07,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3276,大毛毛雨,55,16.6,12.4,5.9,9.0,1,0
2024-04-08,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5482,小毛毛雨,51,21.0,9.7,0.3,9.0,0,0
2024-04-09,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3516,中毛毛雨,53,22.1,14.1,1.0,10.2,0,0
2024-04-10,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5278,阴,3,24.3,14.7,0.0,12.3,0,0
2024-04-11,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4091,中毛毛雨,53,25.0,14.5,1.3,8.4,0,0
2024-04-12,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4403,小毛毛雨,51,26.5,14.8,0.7,8.7,0,0
2024-04-13,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,9277,阴,3,28.4,17.0,0.0,13.7,1,0
2024-04-14,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,7067,阴,3,30.5,15.6,0.0,11.6,1,0
2024-04-15,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3166,中毛毛雨,53,31.0,19.2,0.7,14.4,0,0
2024-04-16,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,998,大雨,65,28.6,18.0,10.3,14.8,0,0
2024-04-17,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2846,小雨,61,24.8,17.8,5.5,6.2,0,0
2024-04-18,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3646,小雨,61,24.2,18.6,8.7,11.2,0,0
2024-04-19,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4662,小毛毛雨,51,27.0,17.3,0.1,12.4,0,0
2024-04-20,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2781,中雨,63,22.8,17.3,9.1,20.5,1,0
2024-04-21,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4636,小雨,61,26.0,15.4,1.7,9.3,1,0
2024-04-22,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2247,小雨,61,25.1,16.1,10.2,12.8,0,0
2024-04-23,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4637,小毛毛雨,51,23.0,15.1,0.5,13.8,0,0
2024-04-24,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5562,小毛毛雨,51,24.4,13.4,0.2,11.5,0,0
2024-04-25,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4699,阴,3,25.5,13.4,0.0,9.1,0,0
2024-04-26,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4978,小毛毛雨,51,27.0,14.9,0.2,9.0,0,0
2024-04-27,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4919,中毛毛雨,53,28.8,17.5,0.8,12.0,1,0
2024-04-28,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3188,中雨,63,29.7,17.2,4.8,17.3,1,0
2024-04-29,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3065,大毛毛雨,55,22.8,15.9,3.7,31.3,0,0
2024-04-30,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4906,小毛毛雨,51,22.6,13.2,0.1,14.7,0,0
2024-05-01,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4823,大毛毛雨,55,18.5,15.1,3.1,11.9,0,1
2024-05-02,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,9188,小毛毛雨,51,19.0,14.0,1.3,11.4,0,1
2024-05-03,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,6897,小毛毛雨,51,21.1,14.1,0.4,11.9,0,1
2024-05-04,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,10016,小毛毛雨,51,24.8,14.3,0.2,14.3,1,1
2024-05-05,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,9123,阴,3,27.3,13.9,0.0,8.4,1,1
2024-05-06,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2981,小雨,61,26.5,15.9,3.2,8.4,0,0
2024-05-07,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2361,中雨,63,26.5,18.4,9.3,12.7,0,0
2024-05-08,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2183,小雨,61,20.9,18.2,12.0,7.5,0,0
2024-05-09,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5404,阴,3,27.2,15.5,0.0,8.9,0,0
2024-05-10,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3462,中毛毛雨,53,25.9,17.0,2.6,10.5,0,0
2024-05-11,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2838,中雨,63,25.5,18.7,7.4,11.8,1,0
2024-05-12,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5807,阴,3,27.0,17.5,0.0,15.9,1,0
2024-05-13,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5874,阴,3,29.1,13.9,0.0,11.9,0,0
2024-05-14,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5779,阴,3,30.3,16.5,0.0,14.7,0,0
2024-05-15,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4535,阴,3,30.9,19.1,0.0,20.1,0,0
2024-05-16,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4749,小毛毛雨,51,30.8,18.4,0.5,9.2,0,0
2024-05-17,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5029,小毛毛雨,51,28.8,20.8,0.2,7.9,0,0
2024-05-18,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4345,小雨,61,30.2,20.7,1.7,16.8,1,0
2024-05-19,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5153,阴,3,32.2,18.4,0.0,16.8,1,0
2024-05-20,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3526,小雨,61,33.2,18.7,1.4,17.5,0,0
2024-05-21,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4707,小毛毛雨,51,32.3,19.5,0.1,13.7,0,0
2024-05-22,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4273,小毛毛雨,51,33.0,20.8,0.2,8.7,0,0
2024-05-23,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4270,阴,3,35.0,22.5,0.0,11.6,0,0
2024-05-24,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3646,阴,3,37.7,24.0,0.0,15.7,0,0
2024-05-25,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5521,中毛毛雨,53,35.0,25.0,0.9,24.6,1,0
2024-05-26,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,7498,阴,3,36.5,22.2,0.0,15.0,1,0
2024-05-27,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4288,小毛毛雨,51,34.0,23.7,0.3,13.9,0,0
2024-05-28,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,1395,中雨,63,27.6,21.9,11.7,13.9,0,0
2024-05-29,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,1929,中雨,63,21.6,19.9,8.2,20.6,0,0
2024-05-30,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5821,阴,3,30.2,19.5,0.0,10.1,0,0
2024-05-31,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,5235,阴,3,31.6,18.2,0.0,13.3,0,0
2024-06-01,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4034,小毛毛雨,51,27.8,21.8,0.3,14.8,1,0
2024-06-02,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4236,小毛毛雨,51,27.5,19.7,0.5,14.8,1,0
2024-06-03,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3187,小毛毛雨,51,26.6,19.9,0.2,12.8,0,0
2024-06-04,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2349,大毛毛雨,55,27.3,18.6,2.4,9.7,0,0
2024-06-05,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3970,小毛毛雨,51,28.2,17.7,0.1,11.5,0,0
2024-06-06,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2444,大毛毛雨,55,27.4,21.1,2.2,16.1,0,0
2024-06-07,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3280,小毛毛雨,51,26.3,19.5,0.4,10.1,0,0
2024-06-08,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,7114,小毛毛雨,51,27.8,21.4,0.1,16.2,1,1
2024-06-09,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,8943,阴,3,27.0,18.1,0.0,6.8,1,1
2024-06-10,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,10044,阴,3,28.5,17.7,0.0,7.9,0,1
2024-06-11,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2895,中毛毛雨,53,31.9,21.9,2.2,12.7,0,0
2024-06-12,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3874,阴,3,32.8,20.1,0.0,10.8,0,0
2024-06-13,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3158,阴,3,34.5,24.1,0.0,10.2,0,0
2024-06-14,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3571,阴,3,36.2,23.4,0.0,9.7,0,0
2024-06-15,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3307,中毛毛雨,53,36.2,23.4,1.5,10.5,1,0
2024-06-16,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3896,中毛毛雨,53,31.8,25.1,1.2,21.4,1,0
2024-06-17,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4362,阴,3,33.7,22.1,0.0,12.4,0,0
2024-06-18,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2646,小雨,61,31.4,23.1,5.9,15.5,0,0
2024-06-19,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3044,中毛毛雨,53,31.5,23.4,2.2,9.1,0,0
2024-06-20,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3355,小毛毛雨,51,31.8,22.3,1.8,17.8,0,0
2024-06-21,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2807,中毛毛雨,53,31.3,23.5,1.7,16.7,0,0
2024-06-22,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4630,阴,3,34.7,23.6,0.0,15.8,1,0
2024-06-23,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4969,阴,3,31.5,22.7,0.0,10.3,1,0
2024-06-24,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3053,阴,3,31.9,23.2,0.0,11.0,0,0
2024-06-25,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3547,小毛毛雨,51,31.5,18.9,1.2,13.0,0,0
2024-06-26,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2408,小雨,61,25.1,21.0,8.2,6.1,0,0
