date,poi_id,poi_name,district,poi_type,crowd_flow,flow_density_score,weather,weather_code,high_temp,low_temp,precipitation_mm,max_wind_speed_kmh,is_weekend,is_holiday,dist_to_center_km,time_score,weather_score,daily_vitality
2024-03-30,B001C8MSP5,黄龙溪古镇,双流区,景区,3375,7.28,中雨,63,25.5,16.4,4.5,14.5,1,0,38.85,70.0,30.0,24.37
2024-03-31,B001C8MSP5,黄龙溪古镇,双流区,景区,6587,14.38,阴,3,27.0,13.1,0.0,12.1,1,0,38.85,70.0,60.0,34.63
2024-04-01,B001C8MSP5,黄龙溪古镇,双流区,景区,3194,6.88,中毛毛雨,53,27.2,16.5,0.9,11.4,0,0,38.85,50.0,45.0,23.13
2024-04-02,B001C8MSP5,黄龙溪古镇,双流区,景区,4150,8.99,小毛毛雨,51,28.4,17.0,0.3,12.5,0,0,38.85,50.0,55.0,26.39
2024-04-03,B001C8MSP5,黄龙溪古镇,双流区,景区,1695,3.56,中雨,63,23.6,16.4,17.3,17.3,0,0,38.85,50.0,30.0,18.14
2024-04-04,B001C8MSP5,黄龙溪古镇,双流区,景区,7357,16.09,大毛毛雨,55,24.6,14.8,3.4,15.9,0,1,38.85,90.0,35.0,34.65
2024-04-05,B001C8MSP5,黄龙溪古镇,双流区,景区,6853,14.97,中毛毛雨,53,22.5,15.4,1.4,18.9,0,1,38.85,90.0,45.0,35.98
2024-04-06,B001C8MSP5,黄龙溪古镇,双流区,景区,5669,12.35,小雨,61,16.4,13.1,4.5,11.9,1,1,38.85,90.0,40.0,33.41
2024-04-07,B001C8MSP5,黄龙溪古镇,双流区,景区,3276,7.06,大毛毛雨,55,16.6,12.4,5.9,9.0,1,0,38.85,70.0,35.0,25.24
2024-04-08,B001C8MSP5,黄龙溪古镇,双流区,景区,5482,11.94,小毛毛雨,51,21.0,9.7,0.3,9.0,0,0,38.85,50.0,55.0,28.16
2024-04-09,B001C8MSP5,黄龙溪古镇,双流区,景区,3516,7.59,中毛毛雨,53,22.1,14.1,1.0,10.2,0,0,38.85,50.0,45.0,23.55
2024-04-10,B001C8MSP5,黄龙溪古镇,双流区,景区,5278,11.49,阴,3,24.3,14.7,0.0,12.3,0,0,38.85,50.0,60.0,28.89
2024-04-11,B001C8MSP5,黄龙溪古镇,双流区,景区,4091,8.86,中毛毛雨,53,25.0,14.5,1.3,8.4,0,0,38.85,50.0,45.0,24.32
2024-04-12,B001C8MSP5,黄龙溪古镇,双流区,景区,4403,9.55,小毛毛雨,51,26.5,14.8,0.7,8.7,0,0,38.85,50.0,55.0,26.73
2024-04-13,B001C8MSP5,黄龙溪古镇,双流区,景区,9277,20.33,阴,3,28.4,17.0,0.0,13.7,1,0,38.85,70.0,60.0,38.2
2024-04-14,B001C8MSP5,黄龙溪古镇,双流区,景区,7067,15.44,阴,3,30.5,15.6,0.0,11.6,1,0,38.85,70.0,60.0,35.26
2024-04-15,B001C8MSP5,黄龙溪古镇,双流区,景区,3166,6.82,中毛毛雨,53,31.0,19.2,0.7,14.4,0,0,38.85,50.0,45.0,23.09
2024-04-16,B001C8MSP5,黄龙溪古镇,双流区,景区,998,2.02,大雨,65,28.6,18.0,10.3,14.8,0,0,38.85,50.0,20.0,15.21
2024-04-17,B001C8MSP5,黄龙溪古镇,双流区,景区,2846,6.11,小雨,61,24.8,17.8,5.5,6.2,0,0,38.85,50.0,40.0,21.67
2024-04-18,B001C8MSP5,黄龙溪古镇,双流区,景区,3646,7.88,小雨,61,24.2,18.6,8.7,11.2,0,0,38.85,50.0,40.0,22.73
2024-04-19,B001C8MSP5,黄龙溪古镇,双流区,景区,4662,10.12,小毛毛雨,51,27.0,17.3,0.1,12.4,0,0,38.85,50.0,55.0,27.07
2024-04-20,B001C8MSP5,黄龙溪古镇,双流区,景区,2781,5.96,中雨,63,22.8,17.3,9.1,20.5,1,0,38.85,70.0,30.0,23.58
2024-04-21,B001C8MSP5,黄龙溪古镇,双流区,景区,4636,10.07,小雨,61,26.0,15.4,1.7,9.3,1,0,38.85,70.0,40.0,28.04
2024-04-22,B001C8MSP5,黄龙溪古镇,双流区,景区,2247,4.78,小雨,61,25.1,16.1,10.2,12.8,0,0,38.85,50.0,40.0,20.87
2024-04-23,B001C8MSP5,黄龙溪古镇,双流区,景区,4637,10.07,小毛毛雨,51,23.0,15.1,0.5,13.8,0,0,38.85,50.0,55.0,27.04
2024-04-24,B001C8MSP5,黄龙溪古镇,双流区,景区,5562,12.12,小毛毛雨,51,24.4,13.4,0.2,11.5,0,0,38.85,50.0,55.0,28.27
2024-04-25,B001C8MSP5,黄龙溪古镇,双流区,景区,4699,10.21,阴,3,25.5,13.4,0.0,9.1,0,0,38.85,50.0,60.0,28.13
2024-04-26,B001C8MSP5,黄龙溪古镇,双流区,景区,4978,10.82,小毛毛雨,51,27.0,14.9,0.2,9.0,0,0,38.85,50.0,55.0,27.49
2024-04-27,B001C8MSP5,黄龙溪古镇,双流区,景区,4919,10.69,中毛毛雨,53,28.8,17.5,0.8,12.0,1,0,38.85,70.0,45.0,29.41
2024-04-28,B001C8MSP5,黄龙溪古镇,双流区,景区,3188,6.86,中雨,63,29.7,17.2,4.8,17.3,1,0,38.85,70.0,30.0,24.12
2024-04-29,B001C8MSP5,黄龙溪古镇,双流区,景区,3065,6.59,大毛毛雨,55,22.8,15.9,3.7,31.3,0,0,38.85,50.0,35.0,20.95
2024-04-30,B001C8MSP5,黄龙溪古镇,双流区,景区,4906,10.66,小毛毛雨,51,22.6,13.2,0.1,14.7,0,0,38.85,50.0,55.0,27.4
2024-05-01,B001C8MSP5,黄龙溪古镇,双流区,景区,4823,10.48,大毛毛雨,55,18.5,15.1,3.1,11.9,0,1,38.85,90.0,35.0,31.29
2024-05-02,B001C8MSP5,黄龙溪古镇,双流区,景区,9188,20.13,小毛毛雨,51,19.0,14.0,1.3,11.4,0,1,38.85,90.0,55.0,41.08
2024-05-03,B001C8MSP5,黄龙溪古镇,双流区,景区,6897,15.07,小毛毛雨,51,21.1,14.1,0.4,11.9,0,1,38.85,90.0,55.0,38.04
2024-05-04,B001C8MSP5,黄龙溪古镇,双流区,景区,10016,21.97,小毛毛雨,51,24.8,14.3,0.2,14.3,1,1,38.85,90.0,55.0,42.18
2024-05-05,B001C8MSP5,黄龙溪古镇,双流区,景区,9123,19.99,阴,3,27.3,13.9,0.0,8.4,1,1,38.85,90.0,60.0,41.99
2024-05-06,B001C8MSP5,黄龙溪古镇,双流区,景区,2981,6.41,小雨,61,26.5,15.9,3.2,8.4,0,0,38.85,50.0,40.0,21.85
2024-05-07,B001C8MSP5,黄龙溪古镇,双流区,景区,2361,5.04,中雨,63,26.5,18.4,9.3,12.7,0,0,38.85,50.0,30.0,19.02
2024-05-08,B001C8MSP5,黄龙溪古镇,双流区,景区,2183,4.64,小雨,61,20.9,18.2,12.0,7.5,0,0,38.85,50.0,40.0,20.78
2024-05-09,B001C8MSP5,黄龙溪古镇,双流区,景区,5404,11.77,阴,3,27.2,15.5,0.0,8.9,0,0,38.85,50.0,60.0,29.06
2024-05-10,B001C8MSP5,黄龙溪古镇,双流区,景区,3462,7.47,中毛毛雨,53,25.9,17.0,2.6,10.5,0,0,38.85,50.0,45.0,23.48
2024-05-11,B001C8MSP5,黄龙溪古镇,双流区,景区,2838,6.09,中雨,63,25.5,18.7,7.4,11.8,1,0,38.85,70.0,30.0,23.65
2024-05-12,B001C8MSP5,黄龙溪古镇,双流区,景区,5807,12.66,阴,3,27.0,17.5,0.0,15.9,1,0,38.85,70.0,60.0,33.6
2024-05-13,B001C8MSP5,黄龙溪古镇,双流区,景区,5874,12.81,阴,3,29.1,13.9,0.0,11.9,0,0,38.85,50.0,60.0,29.69
2024-05-14,B001C8MSP5,黄龙溪古镇,双流区,景区,5779,12.6,阴,3,30.3,16.5,0.0,14.7,0,0,38.85,50.0,60.0,29.56
2024-05-15,B001C8MSP5,黄龙溪古镇,双流区,景区,4535,9.84,阴,3,30.9,19.1,0.0,20.1,0,0,38.85,50.0,60.0,27.9
2024-05-16,B001C8MSP5,黄龙溪古镇,双流区,景区,4749,10.32,小毛毛雨,51,30.8,18.4,0.5,9.2,0,0,38.85,50.0,55.0,27.19
2024-05-17,B001C8MSP5,黄龙溪古镇,双流区,景区,5029,10.94,小毛毛雨,51,28.8,20.8,0.2,7.9,0,0,38.85,50.0,55.0,27.56
2024-05-18,B001C8MSP5,黄龙溪古镇,双流区,景区,4345,9.42,小雨,61,30.2,20.7,1.7,16.8,1,0,38.85,70.0,40.0,27.65
2024-05-19,B001C8MSP5,黄龙溪古镇,双流区,景区,5153,11.21,阴,3,32.2,18.4,0.0,16.8,1,0,38.85,70.0,60.0,32.73
2024-05-20,B001C8MSP5,黄龙溪古镇,双流区,景区,3526,7.61,小雨,61,33.2,18.7,1.4,17.5,0,0,38.85,50.0,40.0,22.57
2024-05-21,B001C8MSP5,黄龙溪古镇,双流区,景区,4707,10.22,小毛毛雨,51,32.3,19.5,0.1,13.7,0,0,38.85,50.0,55.0,27.13
2024-05-22,B001C8MSP5,黄龙溪古镇,双流区,景区,4273,9.26,小毛毛雨,51,33.0,20.8,0.2,8.7,0,0,38.85,50.0,55.0,26.56
2024-05-23,B001C8MSP5,黄龙溪古镇,双流区,景区,4270,9.26,阴,3,35.0,22.5,0.0,11.6,0,0,38.85,50.0,60.0,27.56
2024-05-24,B001C8MSP5,黄龙溪古镇,双流区,景区,3646,7.88,阴,3,37.7,24.0,0.0,15.7,0,0,38.85,50.0,60.0,26.73
2024-05-25,B001C8MSP5,黄龙溪古镇,双流区,景区,5521,12.02,中毛毛雨,53,35.0,25.0,0.9,24.6,1,0,38.85,70.0,45.0,30.21
2024-05-26,B001C8MSP5,黄龙溪古镇,双流区,景区,7498,16.4,阴,3,36.5,22.2,0.0,15.0,1,0,38.85,70.0,60.0,35.84
2024-05-27,B001C8MSP5,黄龙溪古镇,双流区,景区,4288,9.3,小毛毛雨,51,34.0,23.7,0.3,13.9,0,0,38.85,50.0,55.0,26.58
2024-05-28,B001C8MSP5,黄龙溪古镇,双流区,景区,1395,2.9,中雨,63,27.6,21.9,11.7,13.9,0,0,38.85,50.0,30.0,17.74
2024-05-29,B001C8MSP5,黄龙溪古镇,双流区,景区,1929,4.08,中雨,63,21.6,19.9,8.2,20.6,0,0,38.85,50.0,30.0,18.45
2024-05-30,B001C8MSP5,黄龙溪古镇,双流区,景区,5821,12.69,阴,3,30.2,19.5,0.0,10.1,0,0,38.85,50.0,60.0,29.61
2024-05-31,B001C8MSP5,黄龙溪古镇,双流区,景区,5235,11.39,阴,3,31.6,18.2,0.0,13.3,0,0,38.85,50.0,60.0,28.83
2024-06-01,B001C8MSP5,黄龙溪古镇,双流区,景区,4034,8.74,小毛毛雨,51,27.8,21.8,0.3,14.8,1,0,38.85,70.0,55.0,30.24
2024-06-02,B001C8MSP5,黄龙溪古镇,双流区,景区,4236,9.18,小毛毛雨,51,27.5,19.7,0.5,14.8,1,0,38.85,70.0,55.0,30.51
2024-06-03,B001C8MSP5,黄龙溪古镇,双流区,景区,3187,6.86,小毛毛雨,51,26.6,19.9,0.2,12.8,0,0,38.85,50.0,55.0,25.12
2024-06-04,B001C8MSP5,黄龙溪古镇,双流区,景区,2349,5.01,大毛毛雨,55,27.3,18.6,2.4,9.7,0,0,38.85,50.0,35.0,20.01
2024-06-05,B001C8MSP5,黄龙溪古镇,双流区,景区,3970,8.59,小毛毛雨,51,28.2,17.7,0.1,11.5,0,0,38.85,50.0,55.0,26.15
2024-06-06,B001C8MSP5,黄龙溪古镇,双流区,景区,2444,5.22,大毛毛雨,55,27.4,21.1,2.2,16.1,0,0,38.85,50.0,35.0,20.13
2024-06-07,B001C8MSP5,黄龙溪古镇,双流区,景区,3280,7.07,小毛毛雨,51,26.3,19.5,0.4,10.1,0,0,38.85,50.0,55.0,25.24
2024-06-08,B001C8MSP5,黄龙溪古镇,双流区,景区,7114,15.55,小毛毛雨,51,27.8,21.4,0.1,16.2,1,1,38.85,90.0,55.0,38.33
2024-06-09,B001C8MSP5,黄龙溪古镇,双流区,景区,8943,19.59,阴,3,27.0,18.1,0.0,6.8,1,1,38.85,90.0,60.0,41.75
2024-06-10,B001C8MSP5,黄龙溪古镇,双流区,景区,10044,22.03,阴,3,28.5,17.7,0.0,7.9,0,1,38.85,90.0,60.0,43.22
2024-06-11,B001C8MSP5,黄龙溪古镇,双流区,景区,2895,6.22,中毛毛雨,53,31.9,21.9,2.2,12.7,0,0,38.85,50.0,45.0,22.73
2024-06-12,B001C8MSP5,黄龙溪古镇,双流区,景区,3874,8.38,阴,3,32.8,20.1,0.0,10.8,0,0,38.85,50.0,60.0,27.03
